epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,8422.67,0.72254,0.42065,1.05196,0.85112,0.91568,0.94865,0.70323,0.92681,0.47396,1.14276,6.35194e-05,6.35194e-05,6.35194e-05
141,8482.09,0.65389,0.3167,1.00522,0.91201,0.86972,0.94714,0.70974,0.92783,0.48003,1.14923,5.8444e-05,5.8444e-05,5.8444e-05
142,8540.83,0.63993,0.30788,1.00331,0.90637,0.86102,0.94863,0.71044,0.92975,0.48051,1.15313,5.33686e-05,5.33686e-05,5.33686e-05
143,8598.19,0.62465,0.30692,0.98889,0.882,0.86764,0.94817,0.69864,0.92917,0.48171,1.1567,4.82932e-05,4.82932e-05,4.82932e-05
144,8656.61,0.6248,0.30209,0.98804,0.8934,0.84368,0.94848,0.68908,0.92823,0.47846,1.14873,4.32178e-05,4.32178e-05,4.32178e-05
145,8713.97,0.62752,0.302,0.99206,0.88272,0.85141,0.9479,0.69917,0.92832,0.47767,1.14777,3.81424e-05,3.81424e-05,3.81424e-05
146,8772.67,0.62501,0.30099,0.99053,0.881,0.86289,0.94846,0.70192,0.92621,0.47601,1.14715,3.3067e-05,3.3067e-05,3.3067e-05
147,8830.18,0.62255,0.30193,0.99552,0.87525,0.8784,0.94889,0.70039,0.92822,0.4763,1.15169,2.79916e-05,2.79916e-05,2.79916e-05
148,8888.32,0.61729,0.29605,0.98411,0.86626,0.90225,0.94875,0.68891,0.9299,0.47587,1.15359,2.29162e-05,2.29162e-05,2.29162e-05
149,8945.57,0.61302,0.29712,0.98103,0.86858,0.90226,0.94941,0.68886,0.92923,0.4768,1.14948,1.78408e-05,1.78408e-05,1.78408e-05
150,9003.35,0.60477,0.29034,0.97428,0.87213,0.89894,0.94819,0.68917,0.92978,0.47682,1.14849,1.27654e-05,1.27654e-05,1.27654e-05
